what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1330750032936
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330750032936
java.specification.version,sysinfo,,,"1.6",1330750032936
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330750032936
java.version,sysinfo,,,"1.6.0_21",1330750032936
java.vm.info,sysinfo,,,"mixed mode",1330750032936
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1330750032936
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330750032936
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330750032936
java.vm.specification.version,sysinfo,,,"1.0",1330750032936
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330750032936
java.vm.version,sysinfo,,,"17.0-b17",1330750032936
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1330750051338
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1330750051345
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1330750053524
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1330750053560
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1330750053615
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1330750053658
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1330750053666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330750054058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330750056748
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1330750059005
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1330750068711
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1330750074949
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1330750091562
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1330750091678
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1330750091693
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1330750114501
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1330750114514
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1330750115111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751373832
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1330751373855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751374417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751568046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751573052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751741644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751744333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751787514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751923151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751924631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330751926237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330752181747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330752183398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330752244284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330752246444
error,log,,,"An error occurred while collecting items to be installed",1330753668411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753679202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753687334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753695093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1330753695104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1330753695104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753702083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330753704643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753733226
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1330753733248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753733728
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753784387
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330753786014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754178742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754180161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754343817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754345485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754458460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754460532
error,log,,,"An error occurred while collecting items to be installed",1330754756124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754763595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754765878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754767741
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330754768987
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1330754775318
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1330754775352
